Wavelength,Intensity
718.96,0.00
719.94,0.00
720.92,0.00
721.90,0.00
722.87,0.00
723.85,3.37
724.83,4.32
725.81,5.70
726.78,0.00
727.76,8.21
728.74,4.45
729.72,15.53
730.69,0.00
731.67,0.00
732.65,0.00
733.63,0.00
734.60,0.00
735.58,0.00
736.56,9.57
737.54,0.00
738.51,0.00
739.49,9.46
740.47,6.30
741.45,0.00
742.42,1.98
743.40,21.64
744.38,6.03
745.36,6.08
746.33,4.43
747.31,0.00
748.29,0.00
749.27,9.34
750.24,3.35
751.22,0.00
752.20,4.79
753.18,4.43
754.15,0.00
755.13,3.38
756.11,0.00
757.09,3.62
758.06,14.76
759.04,2.46
760.02,0.00
761.00,11.00
761.97,0.00
762.95,9.80
763.93,0.00
764.91,6.51
765.88,0.00
766.86,3.97
767.84,0.00
768.82,3.94
769.79,2.67
770.77,11.79
771.75,4.49
772.73,0.00
773.70,0.00
774.68,0.00
775.66,9.84
776.64,6.39
777.61,1.05
778.59,12.31
779.57,0.00
780.55,1.78
781.52,0.00
782.50,0.00
783.48,0.00
784.46,0.00
785.43,0.00
786.41,11.45
787.39,0.00
788.37,1.37
789.35,0.00
790.32,0.40
791.30,0.00
792.28,4.82
793.26,0.00
794.23,0.00
795.21,4.38
796.19,0.00
797.17,7.52
798.14,3.96
799.12,0.00
800.10,7.39
801.08,4.16
802.05,0.00
803.03,0.00
804.01,1.64
804.99,0.46
805.96,0.00
806.94,0.00
807.92,8.50
808.90,0.00
809.87,21.93
810.85,12.29
811.83,0.00
812.81,8.92
813.78,0.00
814.76,0.00
815.74,0.00
816.72,8.24
817.69,0.00
818.67,4.92
819.65,15.01
820.63,11.01
821.60,2.18
822.58,0.00
823.56,2.99
824.54,0.00
825.51,8.86
826.49,0.00
827.47,0.00
828.45,0.00
829.42,0.00
830.40,7.29
831.38,5.96
832.36,11.97
833.33,0.00
834.31,0.00
835.29,2.45
836.27,0.00
837.24,0.00
838.22,0.00
839.20,0.00
840.18,3.93
841.15,0.00
842.13,2.82
843.11,0.00
844.09,11.97
845.06,12.00
846.04,2.04
847.02,6.62
848.00,0.00
848.97,0.00
849.95,9.23
850.93,8.30
851.91,0.00
852.88,0.00
853.86,7.67
854.84,3.51
855.82,0.00
856.79,0.00
857.77,0.00
858.75,0.00
859.73,11.19
860.70,0.00
861.68,7.21
862.66,0.00
863.64,0.00
864.61,0.00
865.59,0.00
866.57,0.00
867.55,0.96
868.52,0.00
869.50,0.91
870.48,21.36
871.46,0.00
872.43,0.00
873.41,15.47
874.39,0.00
875.37,10.39
876.34,6.04
877.32,0.00
878.30,0.08
879.28,0.00
880.25,0.00
881.23,2.64
882.21,3.89
883.19,9.64
884.16,5.62
885.14,11.87
886.12,0.00
887.10,0.00
888.07,0.00
889.05,0.00
890.03,0.00
891.01,8.44
891.98,0.00
892.96,3.03
893.94,0.00
894.92,0.00
895.89,0.00
896.87,0.00
897.85,1.37
898.83,0.00
899.80,8.98
900.78,15.09
901.76,12.79
902.74,0.00
903.71,3.20
904.69,10.28
905.67,0.00
906.65,12.12
907.62,0.00
908.60,0.00
909.58,0.00
910.56,0.00
911.53,6.84
912.51,12.36
913.49,2.59
914.47,2.07
915.44,0.00
916.42,8.22
917.40,4.20
918.38,0.00
919.35,0.00
920.33,0.00
921.31,0.00
922.29,2.11
923.26,0.34
924.24,2.14
925.22,2.28
926.20,0.00
927.17,5.44
928.15,17.89
929.13,0.00
930.11,9.71
931.09,2.71
932.06,0.00
933.04,0.00
934.02,0.00
935.00,11.36
935.97,0.00
936.95,0.00
937.93,0.00
938.91,9.03
939.88,0.00
940.86,0.00
941.84,2.65
942.82,8.06
943.79,0.00
944.77,4.70
945.75,0.24
946.73,0.00
947.70,6.10
948.68,0.00
949.66,15.29
950.64,0.00
951.61,0.00
952.59,0.00
953.57,0.00
954.55,4.23
955.52,3.35
956.50,0.00
957.48,5.90
958.46,0.00
959.43,5.88
960.41,0.00
961.39,0.00
962.37,7.90
963.34,0.00
964.32,0.00
965.30,2.27
966.28,0.00
967.25,0.00
968.23,0.00
969.21,0.00
970.19,6.65
971.16,15.00
972.14,5.12
973.12,11.43
974.10,14.33
975.07,0.00
976.05,4.46
977.03,4.23
978.01,0.00
978.98,8.00
979.96,0.00
980.94,0.00
981.92,0.00
982.89,2.76
983.87,0.00
984.85,1.15
985.83,3.50
986.80,0.00
987.78,0.00
988.76,1.90
989.74,6.30
990.71,8.90
991.69,0.23
992.67,26.46
993.65,70.96
994.62,129.00
995.60,186.71
996.58,268.94
997.56,355.07
998.53,454.91
999.51,480.08
1000.49,485.73
1001.47,438.88
1002.44,374.88
1003.42,284.26
1004.40,206.81
1005.38,113.40
1006.35,72.67
1007.33,42.34
1008.31,19.53
1009.29,10.32
1010.26,3.69
1011.24,0.00
1012.22,0.00
1013.20,2.30
1014.17,0.00
1015.15,0.00
1016.13,7.30
1017.11,0.97
1018.08,12.67
1019.06,0.00
1020.04,0.00
1021.02,1.05
1021.99,0.00
1022.97,0.00
1023.95,19.36
1024.93,5.59
1025.90,0.00
1026.88,0.00
1027.86,5.24
1028.84,1.88
1029.81,0.00
1030.79,0.00
1031.77,0.41
1032.75,0.00
1033.72,13.13
1034.70,2.63
1035.68,1.17
1036.66,11.23
1037.63,0.00
1038.61,7.06
1039.59,2.59
1040.57,0.22
1041.54,0.00
1042.52,0.00
1043.50,0.00
1044.48,0.93
1045.45,5.21
1046.43,0.00
1047.41,6.14
1048.39,9.04
1049.36,0.00
1050.34,7.90
1051.32,4.11
1052.30,4.02
1053.27,0.00
1054.25,0.00
1055.23,0.00
1056.21,0.00
1057.18,0.00
1058.16,0.00
1059.14,0.00
1060.12,0.00
1061.09,14.23
1062.07,0.00
1063.05,1.23
1064.03,0.00
1065.00,0.00
1065.98,0.00
1066.96,0.00
1067.94,0.00
1068.91,0.00
1069.89,0.00
1070.87,0.00
1071.85,1.98
1072.83,0.00
1073.80,1.62
1074.78,8.63
1075.76,6.46
1076.74,0.00
1077.71,1.70
1078.69,0.00
1079.67,4.81
1080.65,0.32
1081.62,0.00
1082.60,0.00
1083.58,18.83
1084.56,4.74
1085.53,0.00
1086.51,6.68
1087.49,0.00
1088.47,10.78
1089.44,0.00
1090.42,3.60
1091.40,0.00
1092.38,0.00
1093.35,0.00
1094.33,3.89
1095.31,6.90
1096.29,0.00
1097.26,0.00
1098.24,1.90
1099.22,7.99
1100.20,3.31
1101.17,0.00
1102.15,0.00
1103.13,4.93
1104.11,0.00
1105.08,6.62
1106.06,16.16
1107.04,0.00
1108.02,0.92
1108.99,16.14
1109.97,3.53
1110.95,0.00
1111.93,3.61
1112.90,7.87
1113.88,0.00
1114.86,1.76
1115.84,0.00
1116.81,5.84
1117.79,0.00
1118.77,0.00
1119.75,0.00
1120.72,0.00
1121.70,12.42
1122.68,9.04
1123.66,11.25
1124.63,0.00
1125.61,13.44
1126.59,5.41
1127.57,3.37
1128.54,0.00
1129.52,15.73
1130.50,4.30
1131.48,0.44
1132.45,0.00
1133.43,0.00
1134.41,0.00
1135.39,4.93
1136.36,0.00
1137.34,0.00
1138.32,0.00
1139.30,9.98
1140.27,2.97
1141.25,0.00
1142.23,0.00
1143.21,8.32
1144.18,0.00
1145.16,5.83
1146.14,3.39
1147.12,11.77
1148.09,0.00
1149.07,0.00
1150.05,2.45
1151.03,3.81
1152.00,0.00
1152.98,13.61
1153.96,0.00
1154.94,3.38
1155.91,5.98
1156.89,0.00
1157.87,3.17
1158.85,5.82
1159.82,11.57
1160.80,4.60
1161.78,12.34
1162.76,0.00
1163.73,9.74
1164.71,7.46
1165.69,0.00
1166.67,14.09
1167.64,5.65
1168.62,0.00
1169.60,10.44
1170.58,7.92
1171.55,7.58
1172.53,3.44
1173.51,0.00
1174.49,0.00
1175.46,1.35
1176.44,12.43
1177.42,0.82
1178.40,2.05
1179.37,3.63
1180.35,0.00
1181.33,0.00
1182.31,0.00
1183.28,8.84
1184.26,15.69
1185.24,0.00
1186.22,9.28
1187.19,0.00
1188.17,0.00
1189.15,3.24
1190.13,12.52
1191.10,0.00
1192.08,0.00
1193.06,0.02
1194.04,0.00
1195.01,0.00
1195.99,0.00
1196.97,8.48
1197.95,0.00
1198.92,3.78
1199.90,0.00
1200.88,0.00
1201.86,2.51
1202.83,0.00
1203.81,0.00
1204.79,0.00
1205.77,0.00
1206.74,0.00
1207.72,0.00
1208.70,0.00
1209.68,0.00
1210.65,4.53
1211.63,16.30
1212.61,2.34
1213.59,5.42
1214.57,9.94
1215.54,0.00
1216.52,3.47
1217.50,0.00
1218.48,5.88
1219.45,8.72
1220.43,0.00
1221.41,0.00
1222.39,2.51
1223.36,5.93
1224.34,10.48
1225.32,5.76
1226.30,0.00
1227.27,2.61
1228.25,1.81
1229.23,0.00
1230.21,3.00
1231.18,9.30
1232.16,8.28
1233.14,7.14
1234.12,0.00
1235.09,7.22
1236.07,0.00
1237.05,0.00
1238.03,8.49
1239.00,10.38
1239.98,0.00
1240.96,0.00
1241.94,2.25
1242.91,0.19
1243.89,0.00
1244.87,4.69
1245.85,0.00
1246.82,0.00
1247.80,7.65
1248.78,0.00
1249.76,0.00
1250.73,6.27
1251.71,0.00
1252.69,0.39
1253.67,1.43
1254.64,0.00
1255.62,9.77
1256.60,13.77
1257.58,0.00
1258.55,0.00
1259.53,2.87
1260.51,5.17
1261.49,9.41
1262.46,0.00
1263.44,0.00
1264.42,9.63
1265.40,1.92
1266.37,2.51
1267.35,9.70
1268.33,0.00
1269.31,14.62
1270.28,3.33
1271.26,7.36
1272.24,3.87
1273.22,0.00
1274.19,0.00
1275.17,0.00
1276.15,0.00
1277.13,0.00
1278.10,0.92
1279.08,0.00
1280.06,0.00
1281.04,0.00
1282.01,0.00
1282.99,5.73
1283.97,0.28
1284.95,0.00
1285.92,0.00
1286.90,0.00
1287.88,0.24
1288.86,2.26
1289.83,0.00
1290.81,6.44
1291.79,0.00
1292.77,1.48
1293.74,3.96
1294.72,0.00
1295.70,10.24
1296.68,0.00
1297.65,0.00
1298.63,0.00
1299.61,0.00
1300.59,0.00
1301.56,0.83
1302.54,0.00
1303.52,0.00
1304.50,5.02
1305.47,0.00
1306.45,0.00
1307.43,4.45
1308.41,0.00
1309.38,16.64
1310.36,0.00
1311.34,1.43
1312.32,0.00
1313.29,3.10
1314.27,0.00
1315.25,4.73
1316.23,0.00
1317.20,5.91
1318.18,7.14
1319.16,0.00
1320.14,0.00
1321.11,10.79
1322.09,0.00
1323.07,0.65
1324.05,15.05
1325.02,0.00
1326.00,0.13
1326.98,0.00
1327.96,0.00
1328.93,0.00
1329.91,3.55
1330.89,0.00
1331.87,0.00
1332.84,3.67
1333.82,3.12
1334.80,4.43
1335.78,4.45
1336.75,1.74
1337.73,0.00
1338.71,0.00
1339.69,4.33
1340.66,2.26
1341.64,3.94
1342.62,6.85
1343.60,0.00
1344.57,0.00
1345.55,0.00
1346.53,0.00
1347.51,1.09
1348.48,1.48
1349.46,4.68
1350.44,3.89
1351.42,0.00
1352.39,0.00
1353.37,0.00
1354.35,9.70
1355.33,0.00
1356.30,3.61
1357.28,0.00
1358.26,0.00
1359.24,18.77
1360.22,4.38
1361.19,0.00
1362.17,3.03
1363.15,0.00
1364.13,10.81
1365.10,5.91
1366.08,0.00
1367.06,0.00
1368.04,0.00
1369.01,0.00
1369.99,14.45
1370.97,0.00
1371.95,12.72
1372.92,0.00
1373.90,0.00
1374.88,0.00
1375.86,0.00
1376.83,10.30
1377.81,2.17
1378.79,9.42
1379.77,0.00
1380.74,0.00
1381.72,2.35
1382.70,0.00
1383.68,4.64
1384.65,10.46
1385.63,1.25
1386.61,0.00
1387.59,0.00
1388.56,4.44
1389.54,0.00
1390.52,0.00
1391.50,13.04
1392.47,0.00
1393.45,4.26
1394.43,3.79
1395.41,7.89
1396.38,0.00
1397.36,0.00
1398.34,0.00
1399.32,6.56
1400.29,2.83
1401.27,2.09
1402.25,0.00
1403.23,0.00
1404.20,0.00
1405.18,3.57
1406.16,2.31
1407.14,8.79
1408.11,16.70
1409.09,0.00
1410.07,2.51
1411.05,0.00
1412.02,0.00
1413.00,1.64
1413.98,0.00
1414.96,3.53
1415.93,0.00
1416.91,12.67
1417.89,2.76
1418.87,0.00
1419.84,0.00
1420.82,0.00
1421.80,7.66
1422.78,0.00
1423.75,3.77
1424.73,0.00
1425.71,0.00
1426.69,0.00
1427.66,0.00
1428.64,27.79
1429.62,13.53
1430.60,0.00
1431.57,4.55
1432.55,0.00
1433.53,0.00
1434.51,0.00
1435.48,0.00
1436.46,5.28
1437.44,7.38
1438.42,0.66
1439.39,0.00
1440.37,0.00
1441.35,18.74
1442.33,0.02
1443.30,0.00
1444.28,0.00
1445.26,10.74
1446.24,0.00
1447.21,4.61
1448.19,3.69
1449.17,0.00
1450.15,1.01
1451.12,6.27
1452.10,2.96
1453.08,2.18
1454.06,0.00
1455.03,0.00
1456.01,1.09
1456.99,0.00
1457.97,0.04
1458.94,6.42
1459.92,4.29
1460.90,0.00
1461.88,0.00
1462.85,0.00
1463.83,0.00
1464.81,0.00
1465.79,4.98
1466.76,0.00
1467.74,10.84
1468.72,0.00
1469.70,0.00
1470.67,0.00
1471.65,1.61
1472.63,5.68
1473.61,0.00
1474.58,1.89
1475.56,0.00
1476.54,0.00
1477.52,1.58
1478.49,5.07
1479.47,0.34
1480.45,0.00
1481.43,0.00
1482.40,2.22
1483.38,0.00
1484.36,14.36
1485.34,15.31
1486.31,0.00
1487.29,1.58
1488.27,0.58
1489.25,0.00
1490.22,11.77
1491.20,6.30
1492.18,0.00
1493.16,8.98
1494.13,4.85
1495.11,11.57
1496.09,0.56
1497.07,0.00
1498.04,3.46
1499.02,13.72
1500.00,0.00
